"FoodId"|"FdGrp_Desc"|"FdGrp_Cd"|"Long_Desc"|"Amount"|"Msre_Desc"|"Gm_Wgt"|"msre"|"Calories"|"Protein"|"Fat"|"Carbohydrates"
"1"|"Fruits and Fruit Juices"|"0900"|"Abiyuch, raw"|"0.5"|"cup"|"114"|"0.5 cup"|"69"|"1.5"|"0.10000000000000001"|"17.600000000000001"
"2"|"Fruits and Fruit Juices"|"0900"|"Acerola juice, raw"|"1"|"cup"|"242"|"1 cup"|"23"|"0.40000000000000002"|"0.29999999999999999"|"4.7999999999999998"
"3"|"Fruits and Fruit Juices"|"0900"|"Acerola, (west indian cherry), raw"|"1"|"cup"|"98"|"1 cup"|"32"|"0.40000000000000002"|"0.29999999999999999"|"7.6900000000000004"
"4"|"Beverages"|"1400"|"Alcoholic beverage, beer, light"|"1"|"fl oz"|"29.5"|"1 fl oz"|"29"|"0.23999999999999999"|"0"|"1.6399999999999999"
"5"|"Beverages"|"1400"|"Alcoholic beverage, beer, light, BUD LIGHT"|"1"|"fl oz"|"29.5"|"1 fl oz"|"29"|"0.25"|"0"|"1.3"
"6"|"Beverages"|"1400"|"Alcoholic beverage, beer, light, BUDWEISER SELECT"|"1"|"fl oz"|"29.5"|"1 fl oz"|"28"|"0.20000000000000001"|"0"|"0.87"
"7"|"Beverages"|"1400"|"Alcoholic beverage, beer, light, low carb"|"1"|"fl oz"|"29.5"|"1 fl oz"|"27"|"0.17000000000000001"|"0"|"0.72999999999999998"
"8"|"Beverages"|"1400"|"Alcoholic beverage, beer, regular, all"|"1"|"fl oz"|"29.699999999999999"|"1 fl oz"|"43"|"0.46000000000000002"|"0"|"3.5499999999999998"
"9"|"Beverages"|"1400"|"Alcoholic beverage, beer, regular, BUDWEISER"|"1"|"fl oz"|"29.800000000000001"|"1 fl oz"|"41"|"0.35999999999999999"|"0"|"2.9700000000000002"
"10"|"Beverages"|"1400"|"Alcoholic beverage, creme de menthe, 72 proof"|"1"|"fl oz"|"33.600000000000001"|"1 fl oz"|"371"|"0"|"0.29999999999999999"|"41.600000000000001"
"11"|"Beverages"|"1400"|"Alcoholic beverage, daiquiri, canned"|"1"|"fl oz"|"30.5"|"1 fl oz"|"125"|"0"|"0"|"15.699999999999999"
"12"|"Beverages"|"1400"|"Alcoholic beverage, daiquiri, prepared-from-recipe"|"1"|"fl oz"|"30.199999999999999"|"1 fl oz"|"186"|"5.9999999999999998E-2"|"5.9999999999999998E-2"|"6.9400000000000004"
"13"|"Beverages"|"1400"|"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof"|"1"|"fl oz"|"27.800000000000001"|"1 fl oz"|"295"|"0"|"0"|"0"
"14"|"Beverages"|"1400"|"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"|"1"|"fl oz"|"27.800000000000001"|"1 fl oz"|"231"|"0"|"0"|"0"
"15"|"Beverages"|"1400"|"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof"|"1"|"fl oz"|"27.800000000000001"|"1 fl oz"|"250"|"0"|"0"|"0.10000000000000001"
"16"|"Beverages"|"1400"|"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof"|"1"|"fl oz"|"27.800000000000001"|"1 fl oz"|"263"|"0"|"0"|"0"
"17"|"Beverages"|"1400"|"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof"|"1"|"fl oz"|"27.800000000000001"|"1 fl oz"|"275"|"0"|"0"|"0"
"18"|"Beverages"|"1400"|"Alcoholic beverage, distilled, gin, 90 proof"|"1"|"fl oz"|"27.800000000000001"|"1 fl oz"|"263"|"0"|"0"|"0"
"19"|"Beverages"|"1400"|"Alcoholic beverage, distilled, rum, 80 proof"|"1"|"fl oz"|"27.800000000000001"|"1 fl oz"|"231"|"0"|"0"|"0"
"20"|"Beverages"|"1400"|"Alcoholic beverage, distilled, vodka, 80 proof"|"1"|"fl oz"|"27.800000000000001"|"1 fl oz"|"231"|"0"|"0"|"0"
"21"|"Beverages"|"1400"|"Alcoholic beverage, distilled, whiskey, 86 proof"|"1"|"fl oz"|"27.800000000000001"|"1 fl oz"|"250"|"0"|"0"|"0.10000000000000001"
"22"|"Beverages"|"1400"|"Alcoholic beverage, liqueur, coffee with cream, 34 proof"|"1"|"fl oz"|"31.100000000000001"|"1 fl oz"|"327"|"2.7999999999999998"|"15.699999999999999"|"20.899999999999999"
"23"|"Beverages"|"1400"|"Alcoholic beverage, liqueur, coffee, 53 proof"|"1"|"fl oz"|"34.799999999999997"|"1 fl oz"|"336"|"0.10000000000000001"|"0.29999999999999999"|"46.799999999999997"
"24"|"Beverages"|"1400"|"Alcoholic beverage, liqueur, coffee, 63 proof"|"1"|"fl oz"|"34.799999999999997"|"1 fl oz"|"308"|"0.10000000000000001"|"0.29999999999999999"|"32.200000000000003"
"25"|"Beverages"|"1400"|"Alcoholic beverage, pina colada, canned"|"1"|"fl oz"|"32.600000000000001"|"1 fl oz"|"237"|"0.59999999999999998"|"7.5999999999999996"|"27.600000000000001"
"26"|"Beverages"|"1400"|"Alcoholic beverage, pina colada, prepared-from-recipe"|"1"|"fl oz"|"31.399999999999999"|"1 fl oz"|"174"|"0.41999999999999998"|"1.8799999999999999"|"22.66"
"27"|"Beverages"|"1400"|"Alcoholic beverage, rice (sake)"|"1"|"fl oz"|"29.100000000000001"|"1 fl oz"|"134"|"0.5"|"0"|"5"
"28"|"Beverages"|"1400"|"Alcoholic beverage, tequila sunrise, canned"|"1"|"fl oz"|"31.100000000000001"|"1 fl oz"|"110"|"0.29999999999999999"|"0.10000000000000001"|"11.300000000000001"
"29"|"Beverages"|"1400"|"Alcoholic beverage, whiskey sour"|"1"|"fl oz"|"30.399999999999999"|"1 fl oz"|"149"|"0"|"2.9999999999999999E-2"|"13.17"
"30"|"Beverages"|"1400"|"Alcoholic beverage, whiskey sour, canned"|"1"|"fl oz"|"30.800000000000001"|"1 fl oz"|"119"|"0"|"0"|"13.4"
"31"|"Beverages"|"1400"|"Alcoholic beverage, whiskey sour, prepared from item 14028"|"1"|"fl oz"|"30.399999999999999"|"1 fl oz"|"153"|"5.9999999999999998E-2"|"5.9999999999999998E-2"|"12.82"
"32"|"Beverages"|"1400"|"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"164"|"0.10000000000000001"|"0.02"|"15.85"
